,occupation_field,occupation_name,non-college count,wage/salary
0,MGR,General And Operations Managers,678,56697.05
1,MGR,Advertising And Promotions Managers,13,78538.46
2,MGR,Marketing And Sales Managers,374,49620.05
3,MGR,Public Relations And Fundraising Managers,10,69520.0
4,MGR,Administrative Services Managers,107,36976.64
5,MGR,Computer And Information Systems Managers,98,71540.82
6,MGR,Financial Managers,501,45539.12
7,MGR,Compensation And Benefits Managers,5,19400.0
8,MGR,Human Resources Managers,237,37352.74
9,MGR,Training And Development Managers,20,27205.0
10,MGR,Industrial Production Managers,140,44843.57
11,MGR,Purchasing Managers,80,44296.25
12,MGR,"Transportation, Storage, And Distribution Managers",292,37206.16
13,MGR,"Farmers, Ranchers, And Other Agricultural Managers",385,24157.92
14,MGR,Construction Managers,785,48590.7
15,MGR,Education Administrators,204,30636.27
16,MGR,Architectural And Engineering Managers,21,67947.62
17,MGR,Food Service Managers,1149,31622.48
18,MGR,Gaming Managers,26,46346.15
19,MGR,Lodging Managers,146,40945.21
20,MGR,Medical And Health Services Managers,260,39320.77
21,MGR,Natural Sciences Managers,3,23833.33
22,MGR,"Property, Real Estate, And Community Association",693,33035.12
23,MGR,Social And Community Service Managers,120,29055.0
24,MGR,Emergency Management Directors,5,34800.0
25,MGR,"Miscellaneous Managers, Including Funeral Service",2743,44221.49
26,BUS,"Agents And Business Managers Of Artists, Performers,",49,17066.33
27,BUS,"Buyers And Purchasing Agents, Farm Products",6,13866.67
28,BUS,"Wholesale And Retail Buyers, Except Farm Products",292,23635.75
29,BUS,"Purchasing Agents, Except Wholesale, Retail, And Farm",197,32186.8
30,BUS,"Claims Adjusters, Appraisers, Examiners, And",204,37962.5
31,BUS,Compliance Officers,124,41635.65
32,BUS,Cost Estimators,126,42154.76
33,BUS,Human Resources Workers,369,35273.98
34,BUS,"Compensation, Benefits, And Job Analysis Specialists",29,34189.66
35,BUS,Training And Development Specialists,59,35888.14
36,BUS,Logisticians,86,29641.86
37,BUS,Management Analysts,247,39059.92
38,BUS,"Meeting, Convention, And Event Planners",69,26281.16
39,BUS,Fundraisers,21,15176.19
40,BUS,Market Research Analysts And Marketing Specialists,65,37426.15
41,BUS,"Business Operations Specialists, All Other",134,34732.69
42,FIN,Accountants And Auditors,347,29114.58
43,FIN,Appraisers And Assessors Of Real Estate,57,30285.96
44,FIN,Budget Analysts,10,41000.0
45,FIN,Credit Analysts,7,52857.14
46,FIN,Financial Analysts,26,34411.54
47,FIN,Personal Financial Advisors,81,59566.54
48,FIN,Insurance Underwriters,81,43564.2
49,FIN,Financial Examiners,4,29500.0
50,FIN,Credit Counselors And Loan Officers,157,45296.82
51,FIN,"Tax Examiners And Collectors, And Revenue Agents",31,31619.35
52,FIN,Tax Preparers,78,14236.92
53,FIN,"Financial Specialists, All Other",33,36654.55
54,CMM,Computer Systems Analysts,99,48746.46
55,CMM,Information Security Analysts,11,69272.73
56,CMM,Computer Programmers,90,48316.0
57,CMM,"Software Developers, Applications And Systems Software",105,57757.62
58,CMM,Web Developers,60,33478.33
59,CMM,Computer Support Specialists,271,35767.82
60,CMM,Database Administrators,20,50750.0
61,CMM,Network And Computer Systems Administrators,68,50881.62
62,CMM,Computer Network Architects,24,71175.0
63,CMM,"Computer Occupations, All Other",242,40014.5
64,CMM,Operations Research Analysts,25,47624.0
65,ENG,"Architects, Except Naval",24,18708.33
66,ENG,"Surveyors, Cartographers, And Photogrammetrists",8,53125.0
67,ENG,Aerospace Engineers,10,53700.0
68,ENG,Biomedical And Agricultural Engineers,1,65000.0
69,ENG,Chemical Engineers,2,84000.0
70,ENG,Civil Engineers,38,43044.74
71,ENG,Computer Hardware Engineers,8,52300.0
72,ENG,Electrical And Electronics Engineers,29,48837.93
73,ENG,Environmental Engineers,4,31250.0
74,ENG,"Industrial Engineers, Including Health And Safety",37,52191.89
75,ENG,Marine Engineers And Naval Architects,11,61863.64
76,ENG,Materials Engineers,1,4500.0
77,ENG,Mechanical Engineers,26,49307.69
78,ENG,"Petroleum, Mining And Geological Engineers, Including",3,197666.67
79,ENG,"Miscellaneous Engineers, Including Nuclear Engineers",52,57617.31
80,ENG,Drafters,92,27817.28
81,ENG,"Engineering Technicians, Except Drafters",310,35456.65
82,ENG,Surveying And Mapping Technicians,154,32530.52
83,SCI,"Medical Scientists, And Life Scientists, All Other",1,0.0
84,SCI,Atmospheric And Space Scientists,1,66000.0
85,SCI,Chemists And Materials Scientists,1,72000.0
86,SCI,"Physical Scientists, All Other",1,43400.0
87,SCI,Urban And Regional Planners,1,0.0
88,SCI,"Miscellaneous Social Scientists, Including Survey",8,13450.0
89,SCI,Agricultural And Food Science Technicians,30,23063.33
90,SCI,Biological Technicians,10,30700.0
91,SCI,Chemical Technicians,35,37474.29
92,SCI,"Geological And Petroleum Technicians, And Nuclear",7,18800.0
