,occupation_field,occupation_name,non-college count,wage/salary
0,MGR,General And Operations Managers,9557,66772.16
1,MGR,Advertising And Promotions Managers,179,57341.48
2,MGR,Marketing And Sales Managers,4459,64577.7
3,MGR,Public Relations And Fundraising Managers,114,63470.0
4,MGR,Administrative Services Managers,1746,55633.66
5,MGR,Computer And Information Systems Managers,1510,79585.86
6,MGR,Financial Managers,7638,53927.32
7,MGR,Compensation And Benefits Managers,83,60123.94
8,MGR,Human Resources Managers,3722,53228.55
9,MGR,Training And Development Managers,355,42993.58
10,MGR,Industrial Production Managers,3352,63593.8
11,MGR,Purchasing Managers,1356,60359.55
12,MGR,"Transportation, Storage, And Distribution Managers",4213,47779.6
13,MGR,"Farmers, Ranchers, And Other Agricultural Managers",22236,46401.03
14,MGR,Construction Managers,11231,67571.14
15,MGR,Education Administrators,3457,37404.95
16,MGR,Architectural And Engineering Managers,405,88943.15
17,MGR,Food Service Managers,17092,33839.77
18,MGR,Gaming Managers,347,43561.3
19,MGR,Lodging Managers,1801,40422.2
20,MGR,Medical And Health Services Managers,3569,48187.15
21,MGR,Natural Sciences Managers,22,45236.84
22,MGR,"Property, Real Estate, And Community Association",7460,44653.82
23,MGR,Social And Community Service Managers,2126,37023.1
24,MGR,Emergency Management Directors,44,50794.44
25,MGR,"Miscellaneous Managers, Including Funeral Service",39810,60351.11
26,BUS,"Agents And Business Managers Of Artists, Performers,",418,40831.23
27,BUS,"Buyers And Purchasing Agents, Farm Products",198,43882.63
28,BUS,"Wholesale And Retail Buyers, Except Farm Products",3563,31069.85
29,BUS,"Purchasing Agents, Except Wholesale, Retail, And Farm",3355,46978.1
30,BUS,"Claims Adjusters, Appraisers, Examiners, And",2871,48122.88
31,BUS,Compliance Officers,1573,50220.95
32,BUS,Cost Estimators,1958,57285.0
33,BUS,Human Resources Workers,5188,47122.64
34,BUS,"Compensation, Benefits, And Job Analysis Specialists",420,46357.11
35,BUS,Training And Development Specialists,1159,42321.35
36,BUS,Logisticians,1321,45167.92
37,BUS,Management Analysts,2893,60473.59
38,BUS,"Meeting, Convention, And Event Planners",949,28211.37
39,BUS,Fundraisers,397,22627.94
40,BUS,Market Research Analysts And Marketing Specialists,954,40989.71
41,BUS,"Business Operations Specialists, All Other",2080,43873.78
42,FIN,Accountants And Auditors,5568,40289.91
