degree_name,male_%,male_wage,female_%,female_wage
General Agriculture,79.15,41153.71,20.85,34764.45
Agriculture Production And Management,77.18,53560.98,22.82,38537.09
Agricultural Economics,82.03,62104.21,17.97,47176.2
Animal Sciences,50.99,56393.21,49.01,40889.05
Food Science,42.8,71772.38,57.2,47489.0
Plant Science And Agronomy,70.25,48986.56,29.75,29451.81
Soil Science,78.03,49309.63,21.97,38576.47
Miscellaneous Agriculture,59.33,40396.65,40.67,37808.71
Environmental Science,51.9,62985.96,48.1,42491.2
Forestry,86.52,45254.68,13.48,38400.76
Natural Resources Management,66.61,53401.4,33.39,40159.74
Architecture,67.96,62641.7,32.04,41775.06
Area Ethnic And Civilization Studies,34.4,71549.0,65.6,44077.97
Communications,38.9,67410.65,61.1,43538.18
Journalism,40.42,60414.9,59.58,43584.09
Mass Media,51.53,53544.5,48.47,39859.2
Advertising And Public Relations,33.17,68632.03,66.83,43406.28
Communication Technologies,64.36,48973.99,35.64,35845.42
Computer And Information Systems,67.97,74432.9,32.03,51514.11
Computer Programming And Data Processing,65.53,63523.28,34.47,40653.47
Computer Science,73.26,92499.42,26.74,58718.57
Information Sciences,67.65,82708.06,32.35,55418.0
Computer Administration Management And Security,74.06,64838.35,25.94,44924.65
Computer Networking And Telecommunications,69.58,66812.04,30.42,47790.85
Cosmetology Services And Culinary Arts,58.79,45648.66,41.21,25518.88
General Education,24.4,37255.58,75.6,25607.94
Educational Administration And Supervision,48.3,36806.24,51.7,40408.24
School Student Counseling,26.18,32664.97,73.82,28183.12
Elementary Education,9.54,33396.5,90.46,23882.7
Mathematics Teacher Education,40.45,37176.19,59.55,29602.83
Physical And Health Education Teaching,52.1,41263.3,47.9,29136.23
Early Childhood Education,3.02,41968.02,96.98,29015.22
Science And Computer Teacher Education,47.61,34825.33,52.39,29061.06
Secondary Teacher Education,46.47,30579.57,53.53,22757.34
Special Needs Education,11.34,41386.69,88.66,34751.94
Social Science Or History Teacher Education,53.69,35722.48,46.31,25492.62
Teacher Education: Multiple Levels,22.3,32612.97,77.7,27622.98
Language And Drama Education,17.94,37611.39,82.06,25979.23
Art And Music Education,34.13,36543.36,65.87,24920.72
Miscellaneous Education,43.95,34009.24,56.05,22426.72
General Engineering,85.96,70540.42,14.04,49981.68
Aerospace Engineering,91.08,79367.92,8.92,69297.37
Biological Engineering,76.37,65079.34,23.63,47974.96
Architectural Engineering,79.56,69297.23,20.44,47303.24
Biomedical Engineering,61.54,94825.35,38.46,62936.66
Chemical Engineering,74.79,86554.85,25.21,68048.14
Civil Engineering,84.87,74358.86,15.13,56387.09
Computer Engineering,78.98,97747.19,21.02,60304.04
Electrical Engineering,88.11,84248.96,11.89,64624.94
Engineering Mechanics Physics And Science,88.32,73564.48,11.68,56276.31
Environmental Engineering,62.2,79323.17,37.8,47459.02
Geological And Geophysical Engineering,81.18,72710.33,18.82,53161.61
Industrial And Manufacturing Engineering,77.81,79349.43,22.19,63618.87
Materials Engineering And Materials Science,76.49,70429.82,23.51,56731.95
Mechanical Engineering,90.81,78857.67,9.19,64656.59
Metallurgical Engineering,90.22,67800.75,9.78,59940.62
Mining And Mineral Engineering,91.83,75160.73,8.17,64162.77
Naval Architecture And Marine Engineering,95.2,69266.94,4.8,60074.4
Nuclear Engineering,87.59,96927.86,12.41,67792.41
Petroleum Engineering,88.26,115010.55,11.74,94868.06
Miscellaneous Engineering,79.98,76227.29,20.02,53015.27
Engineering Technologies,78.5,65408.0,21.5,36263.43
Engineering And Industrial Management,87.11,56191.46,12.89,54314.32
Electrical Engineering Technology,85.06,69629.04,14.94,43456.94
Industrial Production Technologies,91.28,59720.17,8.72,49389.13
Mechanical Engineering Related Technologies,93.6,66114.21,6.4,56656.94
Miscellaneous Engineering Technologies,80.08,72022.63,19.92,47887.54
